final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group
5,True,1.0,Some of the time,"Apex Legends,Grand Theft Auto V,League of Legends,Minecraft,PUBG",Playing video games with my coworkers build **community** and strengthen team effectiveness. ,INT-GRP,Low Frequency
14,True,7.0,Most of the time,"World of Warcraft,League of Legends,Halo,Super Mario 64,any mmo","I believe that it can make you a better team player. Having to **work together** in World of Warcraft, our team of 20 plus people working on killing the hardest bosses the game has to offer creates bonds and skills to improve together. With League of legends, it is imperative that you **work together** with your team in some manner even if it is a more toxic environment at times. ",CLB-COP,High Frequency
14,True,7.0,Most of the time,"World of Warcraft,League of Legends,Halo,Super Mario 64,any mmo","I believe that it can make you a better team player. Having to work together in World of Warcraft, our team of 20 plus people working on killing the hardest bosses the game has to offer creates bonds and **skills** to improve together. With League of legends, it is imperative that you work together with your team in some manner even if it is a more toxic environment at times. ",CLB-MNG,High Frequency
14,True,7.0,Most of the time,"World of Warcraft,League of Legends,Halo,Super Mario 64,any mmo","I believe that it can make you a better **team player**. Having to work together in World of Warcraft, our team of 20 plus people working on killing the hardest bosses the game has to offer creates bonds and skills to improve together. With League of legends, it is imperative that you work together with your team in some manner even if it is a more toxic environment at times. ",INT-GRP,High Frequency
14,True,7.0,Most of the time,"World of Warcraft,League of Legends,Halo,Super Mario 64,any mmo","I believe that it can make you a better team player. Having to work together in World of Warcraft, our team of 20 plus people working on killing the hardest bosses the game has to offer creates bonds and skills to improve together. With League of legends, it is imperative that you work together with your team in some manner even if it is a more **toxic** environment at times. ",DEF-ISO,High Frequency
16,True,3.0,Some of the time,"Minecraft,Final Fantasy,South Park: TSoT or TFbW,Dishonored,Wunderling","I usually play alone, but I do enjoy coop games. In those, communicating about **strategy** and goals does make for better teamwork",PRO-STR,Low Frequency
16,True,3.0,Some of the time,"Minecraft,Final Fantasy,South Park: TSoT or TFbW,Dishonored,Wunderling","I usually play alone, but I do enjoy coop games. In those, communicating about strategy and goals does make for better **teamwork**",INT-GRP,Low Frequency
16,True,3.0,Some of the time,"Minecraft,Final Fantasy,South Park: TSoT or TFbW,Dishonored,Wunderling","I usually play **alone**, but I do enjoy coop games. In those, communicating about strategy and goals does make for better teamwork",DEF-SLO,Low Frequency
18,True,7.0,Some of the time,"Resident Evil 4,FortNite,Medal of Honor Above and Beyond,Phantom Covert Ops,Arizona Sunshine","It does, especially with regard to **strategic** games. Additional games I enjoy partaking in are Star Wars Tales from the Galaxy's Edge, Contractor$, MVP Football - The Patrick Mahomes Experience, Vader Immortal Episode 3, and Onward.",PRO-STR,High Frequency
20,True,7.0,Some of the time,"Minecraft,Animal Crossing New Horizons,Pokemon Shining Pearl,Stardew Valley,Cookie Run Ovenbreak","Most of the games I play are **single-player**, and those that aren't necessarily, I will often play **alone** due to schedule conflicts with my friends or differing play styles. I think if I played more team-based games, this would be the case. However, as it stands I'm not sure there's too much of a difference. ",DEF-SLO,High Frequency
26,True,4.0,Some of the time,"rocket league,minecraft,battlefield,mini metro,destiny 2","Absolutely, particularly in rocket league and battlefield.

For me, a usual rocket league game is played with teammates that I have never played with before. There is also no voice communication in-game, so I communicate with my teammates in three ways, the first being the in-game chat using preset messages. The second way is through ""body"" language, by which I mean this: when I see a teammate move their in-game character a certain way in reaction to the current situation in-game, I can get a good idea of what they are planning to do next. The third way is knowing the unwritten rules that the community (loosely) follows. Of course, each individual player's body language and general play-style is different, so for each game I must adapt to how my teammates play. This translates generally to learning how to work with people in the real world.

It is similar for battlefield: I am usually playing with people I have never played with before. A typical game is myself and about 60 other players versus a similarly-sized second team. Teams are divided into squads of about five people. The best squads usually have at least one person filling each of four in-game roles with different specializations. I **work together** with my squad alongside the other squads on my team to capture and defend various objectives spread throughout the map. Ultimately, this game is won and lost by squads, not individual players. A skilled player loses to a squad of mediocre players, but a squad of skilled players **cooperating** is very hard to beat. Similarly, an excellent programmer reaches their full potential only as part of a team.",CLB-COP,High Frequency
26,True,4.0,Some of the time,"rocket league,minecraft,battlefield,mini metro,destiny 2","Absolutely, particularly in rocket league and battlefield.

For me, a usual rocket league game is played with teammates that I have never played with before. There is also no voice communication in-game, so I communicate with my teammates in three ways, the first being the in-game chat using preset messages. The second way is through ""body"" language, by which I mean this: when I see a teammate move their in-game character a certain way in reaction to the current situation in-game, I can get a good idea of what they are **planning** to do next. The third way is knowing the unwritten rules that the community (loosely) follows. Of course, each individual player's body language and general play-style is different, so for each game I must adapt to how my teammates play. This translates generally to learning how to work with people in the real world.

It is similar for battlefield: I am usually playing with people I have never played with before. A typical game is myself and about 60 other players versus a similarly-sized second team. Teams are divided into squads of about five people. The best squads usually have at least one person filling each of four in-game roles with different specializations. I work together with my squad alongside the other squads on my team to capture and defend various objectives spread throughout the map. Ultimately, this game is won and lost by squads, not individual players. A skilled player loses to a squad of mediocre players, but a squad of skilled players cooperating is very hard to beat. Similarly, an excellent programmer reaches their full potential only as part of a team.",PRO-STR,High Frequency
26,True,4.0,Some of the time,"rocket league,minecraft,battlefield,mini metro,destiny 2","Absolutely, particularly in rocket league and battlefield.

For me, a usual rocket league game is played with teammates that I have never played with before. There is also no voice communication in-game, so I communicate with my teammates in three ways, the first being the in-game chat using preset messages. The second way is through ""body"" language, by which I mean this: when I see a teammate move their in-game character a certain way in reaction to the current situation in-game, I can get a good idea of what they are planning to do next. The third way is knowing the unwritten rules that the community (loosely) follows. Of course, each individual player's body language and general play-style is different, so for each game I must **adapt to** how my teammates play. This translates generally to learning how to work with people in the real world.

It is similar for battlefield: I am usually playing with people I have never played with before. A typical game is myself and about 60 other players versus a similarly-sized second team. Teams are divided into squads of about five people. The best squads usually have at least one person filling each of four in-game roles with different specializations. I work together with my squad alongside the other squads on my team to capture and defend various objectives spread throughout the map. Ultimately, this game is won and lost by squads, not individual players. A skilled player loses to a squad of mediocre players, but a squad of skilled players cooperating is very hard to beat. Similarly, an excellent programmer reaches their full potential only as part of a team.",PRO-ADP,High Frequency
26,True,4.0,Some of the time,"rocket league,minecraft,battlefield,mini metro,destiny 2","Absolutely, particularly in rocket league and battlefield.

For me, a usual rocket league game is played with teammates that I have never played with before. There is also no voice communication in-game, so I communicate with my teammates in three ways, the first being the in-game chat using preset messages. The second way is through ""body"" language, by which I mean this: when I see a teammate move their in-game character a certain way in reaction to the current situation in-game, I can get a good idea of what they are planning to do next. The third way is knowing the unwritten rules that the **community** (loosely) follows. Of course, each individual player's body language and general play-style is different, so for each game I must adapt to how my teammates play. This translates generally to learning how to work with people in the real world.

It is similar for battlefield: I am usually playing with people I have never played with before. A typical game is myself and about 60 other players versus a similarly-sized second team. **Teams** are divided into squads of about five people. The best squads usually have at least one person filling each of four in-game roles with different specializations. I work together with my squad alongside the other squads on my team to capture and defend various objectives spread throughout the map. Ultimately, this game is won and lost by squads, not individual players. A skilled player loses to a squad of mediocre players, but a squad of skilled players cooperating is very hard to beat. Similarly, an excellent programmer reaches their full potential only as part of a team.",INT-GRP,High Frequency
26,True,4.0,Some of the time,"rocket league,minecraft,battlefield,mini metro,destiny 2","Absolutely, particularly in rocket league and battlefield.

For me, a usual rocket league game is played with teammates that I have never played with before. There is also no voice communication in-game, so I communicate with my teammates in three ways, the first being the in-game chat using preset messages. The second way is through ""body"" language, by which I **mean** this: when I see a teammate move their in-game character a certain way in reaction to the current situation in-game, I can get a good idea of what they are planning to do next. The third way is knowing the unwritten rules that the community (loosely) follows. Of course, each individual player's body language and general play-style is different, so for each game I must adapt to how my teammates play. This translates generally to learning how to work with people in the real world.

It is similar for battlefield: I am usually playing with people I have never played with before. A typical game is myself and about 60 other players versus a similarly-sized second team. Teams are divided into squads of about five people. The best squads usually have at least one person filling each of four in-game roles with different specializations. I work together with my squad alongside the other squads on my team to capture and defend various objectives spread throughout the map. Ultimately, this game is won and lost by squads, not individual players. A skilled player loses to a squad of mediocre players, but a squad of skilled players cooperating is very hard to beat. Similarly, an excellent programmer reaches their full potential only as part of a team.",DEF-ISO,High Frequency
26,True,4.0,Some of the time,"rocket league,minecraft,battlefield,mini metro,destiny 2","Absolutely, particularly in rocket league and battlefield.

For me, a usual rocket league game is played with teammates that I have never played with before. There is also no voice communication in-game, so I communicate with my teammates in three ways, the first being the in-game chat using preset messages. The second way is through ""body"" language, by which I mean this: when I see a teammate move their in-game character a certain way in reaction to the current situation in-game, I can get a good idea of what they are planning to do next. The third way is knowing the unwritten rules that the community (loosely) follows. Of course, each individual player's body language and general play-style is different, so for each game I must adapt to how my teammates play. This translates generally to learning how to work with people in the **real world**.

It is similar for battlefield: I am usually playing with people I have never played with before. A typical game is myself and about 60 other players versus a similarly-sized second team. Teams are divided into squads of about five people. The best squads usually have at least one person filling each of four in-game roles with different specializations. I work together with my squad alongside the other squads on my team to capture and defend various objectives spread throughout the map. Ultimately, this game is won and lost by squads, not individual players. A skilled player loses to a squad of mediocre players, but a squad of skilled players cooperating is very hard to beat. Similarly, an excellent programmer reaches their full potential only as part of a team.",DEV-NRL,High Frequency
31,True,7.0,Most of the time,"Apex Legends,Valorant,Halo Infinite,Slay the Spire,Minecraft","Yes, I believe that playing video-games has made me a better **team player**. The games that I play  require a high degree of **teamwork**, and more importantly have taught me to be much kinder and understanding of other's idea's and mistakes.",INT-GRP,High Frequency
31,True,7.0,Most of the time,"Apex Legends,Valorant,Halo Infinite,Slay the Spire,Minecraft","Yes, I believe that playing video-games has made me a better team player. The games that I play  require a high degree of teamwork, and more importantly have taught me to be much kinder and understanding of other's idea's and **mistakes**.",INT-VUL,High Frequency
31,True,7.0,Most of the time,"Apex Legends,Valorant,Halo Infinite,Slay the Spire,Minecraft","Yes, I believe that playing video-games has made me a better team player. The games that I play  require a high degree of teamwork, and more importantly have taught me to be much kinder and understanding of other's idea's and **mistakes**.",DEF-IRR,High Frequency
37,True,2.0,Most of the time,"FIFA,Madden ,NBA 2K,Call Of Duty,Fortnite","Yes, communicating to win in any game like NBA 2k on defense when we want to get a stop or Fortnite to communicate where someone is so we can all get a win or needing any resources for health, materials,etc. ",UNCODED,Low Frequency
39,True,5.0,Most of the time,"Age of Empires 4,Counterstrike Global Offensive (CSG0),League of Legends,Deep Rock Galactic,Foxhole","Yes, very much so.  I have competed as part of one of our school's CSGO and League of Legends teams.  In playing on these and times before this, I grew a lot by learning methods of communication, and what types of communications breed success.  Having a **joint** goal in mind but still being able to work as an individual, for example, were some things I picked up on. Some more...

-Picking up group morale

-Being able to delegate

-Expectations for members of your team

-Well placed criticism

-Setting realistic goals 

-Importance of discussion (as opposed to bottling feelings or not having an environment not conducive to well meant discussion)",CLB-COP,High Frequency
39,True,5.0,Most of the time,"Age of Empires 4,Counterstrike Global Offensive (CSG0),League of Legends,Deep Rock Galactic,Foxhole","Yes, very much so.  I have competed as part of one of our school's CSGO and League of Legends teams.  In playing on these and times before this, I grew a lot by learning methods of communication, and what types of communications breed success.  Having a joint goal in mind but still being able to work as an individual, for example, were some things I picked up on. Some more...

-Picking up group morale

-Being able to **delegate**

-Expectations for members of your team

-Well placed criticism

-Setting realistic goals 

-Importance of discussion (as opposed to bottling feelings or not having an environment not conducive to well meant discussion)",CLB-DEL,High Frequency
39,True,5.0,Most of the time,"Age of Empires 4,Counterstrike Global Offensive (CSG0),League of Legends,Deep Rock Galactic,Foxhole","Yes, very much so.  I have competed as part of one of our school's CSGO and League of Legends teams.  In playing on these and times before this, I grew a lot by learning methods of communication, and what types of communications breed success.  Having a joint goal in mind but still being able to work as an individual, for example, were some things I picked up on. Some more...

-Picking up group **morale**

-Being able to delegate

-Expectations for members of your team

-Well placed criticism

-Setting realistic goals 

-Importance of discussion (as opposed to bottling feelings or not having an environment not conducive to well meant discussion)",CLB-CMR,High Frequency
