final score,gamer?,game days / week,team frequency,top 5 games,games essay,CODE,Gamer Group
50,True,4.0,Half of the time,"Elden Ring,Final Fantasy XIV,Phasmophobia,Raft,Random indie games","Especially when it comes to random people on the internet, it pays to be both patient and assertive. Games that do not foster an inclusive community can be completely ruined by the people playing, even if the game is well-made. It’s easier to enjoy those games if you demonstrate some diplomacy, and also be willing to call out sexism and other biases that can be prevalent in online communities.

Second, gaming teaches patience with your own **abilities** and strategic thinking. Particularly since the arrival of Souls-like games, there is a greater emphasis on the ability to learn from mistakes, adapt, and gain **skills** and knowledge to make it through that next horrible boss fight.

 The ability to interact with others, regardless of their background, to be patient, and to be pushed to learn and teach are all invaluable **skills** in any team.",CLB-MNG,High Frequency
50,True,4.0,Half of the time,"Elden Ring,Final Fantasy XIV,Phasmophobia,Raft,Random indie games","Especially when it comes to random people on the internet, it pays to be both patient and assertive. Games that do not foster an inclusive community can be completely ruined by the people playing, even if the game is well-made. It’s easier to enjoy those games if you demonstrate some diplomacy, and also be willing to call out sexism and other biases that can be prevalent in online communities.

Second, gaming teaches patience with your own abilities and **strategic** thinking. Particularly since the arrival of Souls-like games, there is a greater emphasis on the ability to learn from mistakes, adapt, and gain skills and knowledge to make it through that next horrible boss fight.

 The ability to interact with others, regardless of their background, to be patient, and to be pushed to learn and teach are all invaluable skills in any team.",PRO-STR,High Frequency
50,True,4.0,Half of the time,"Elden Ring,Final Fantasy XIV,Phasmophobia,Raft,Random indie games","Especially when it comes to random people on the internet, it pays to be both patient and assertive. Games that do not foster an inclusive community can be completely ruined by the people playing, even if the game is well-made. It’s easier to enjoy those games if you demonstrate some diplomacy, and also be willing to call out sexism and other biases that can be prevalent in online communities.

Second, gaming teaches patience with your own abilities and strategic thinking. Particularly since the arrival of Souls-like games, there is a greater emphasis on the ability to learn from mistakes, **adapt**, and gain skills and knowledge to make it through that next horrible boss fight.

 The ability to interact with others, regardless of their background, to be patient, and to be pushed to learn and teach are all invaluable skills in any team.",PRO-ADP,High Frequency
50,True,4.0,Half of the time,"Elden Ring,Final Fantasy XIV,Phasmophobia,Raft,Random indie games","Especially when it comes to random people on the internet, it pays to be both patient and assertive. Games that do not foster an inclusive **community** can be completely ruined by the people playing, even if the game is well-made. It’s easier to enjoy those games if you demonstrate some diplomacy, and also be willing to call out sexism and other biases that can be prevalent in online communities.

Second, gaming teaches patience with your own abilities and strategic thinking. Particularly since the arrival of Souls-like games, there is a greater emphasis on the ability to learn from mistakes, adapt, and gain skills and knowledge to make it through that next horrible boss fight.

 The ability to interact with others, regardless of their background, to be patient, and to be pushed to learn and teach are all invaluable skills in any team.",INT-GRP,High Frequency
50,True,4.0,Half of the time,"Elden Ring,Final Fantasy XIV,Phasmophobia,Raft,Random indie games","Especially when it comes to random people on the internet, it pays to be both **patient** and assertive. Games that do not foster an inclusive community can be completely ruined by the people playing, even if the game is well-made. It’s easier to enjoy those games if you demonstrate some diplomacy, and also be willing to call out sexism and other biases that can be prevalent in online communities.

Second, gaming teaches **patience** with your own abilities and strategic thinking. Particularly since the arrival of Souls-like games, there is a greater emphasis on the ability to learn from mistakes, adapt, and gain skills and knowledge to make it through that next horrible boss fight.

 The ability to interact with others, regardless of their background, to be **patient**, and to be pushed to learn and teach are all invaluable skills in any team.",INT-PAT,High Frequency
50,True,4.0,Half of the time,"Elden Ring,Final Fantasy XIV,Phasmophobia,Raft,Random indie games","Especially when it comes to random people on the internet, it pays to be both patient and assertive. Games that do not foster an inclusive community can be completely ruined by the people playing, even if the game is well-made. It’s easier to enjoy those games if you demonstrate some diplomacy, and also be willing to call out sexism and other biases that can be prevalent in online communities.

Second, gaming teaches patience with your own abilities and strategic thinking. Particularly since the arrival of Souls-like games, there is a greater emphasis on the ability to learn from **mistakes**, adapt, and gain skills and knowledge to make it through that next horrible boss fight.

 The ability to interact with others, regardless of their background, to be patient, and to be pushed to learn and teach are all invaluable skills in any team.",INT-VUL,High Frequency
50,True,4.0,Half of the time,"Elden Ring,Final Fantasy XIV,Phasmophobia,Raft,Random indie games","Especially when it comes to random people on the internet, it pays to be both patient and assertive. Games that do not foster an inclusive community can be completely ruined by the people playing, even if the game is well-made. It’s easier to enjoy those games if you demonstrate some diplomacy, and also be willing to call out sexism and other biases that can be prevalent in online communities.

Second, gaming teaches patience with your own abilities and strategic thinking. Particularly since the arrival of Souls-like games, there is a greater emphasis on the ability to learn from **mistakes**, adapt, and gain skills and knowledge to make it through that next horrible boss fight.

 The ability to interact with others, regardless of their background, to be patient, and to be pushed to learn and teach are all invaluable skills in any team.",DEF-IRR,High Frequency
55,True,6.0,Always,"-,League of Legends,-,-,-","It depends on the mindset given the situation. A lot of players have the tendency to want to ""have fun"" amidst a match as opposed to wanting to win. Let's assume for instance that we have the goal of ""winning"" in mind. If the goal is to win, it is essential to be a team player, and that requires putting one's ego aside and seamlessly adapt to any given situation to maximize our chance of winning. On the other hand if a win is impossible, it is wise to lose **fast** as opposed to trying to win with a losing team.

Anything can be meaningful with enough introspection and analysis, video games are no exception. I have been humbled and totally humiliated in video games which was important for me to realize that in order to be better, parts of me have to die.",COM-EFF,High Frequency
55,True,6.0,Always,"-,League of Legends,-,-,-","It depends on the mindset given the situation. A lot of players have the tendency to want to ""have fun"" amidst a match as opposed to wanting to win. Let's assume for instance that we have the goal of ""winning"" in mind. If the goal is to win, it is essential to be a team player, and that requires putting one's ego aside and seamlessly **adapt to** any given situation to maximize our chance of winning. On the other hand if a win is impossible, it is wise to lose fast as opposed to trying to win with a losing team.

Anything can be meaningful with enough introspection and analysis, video games are no exception. I have been humbled and totally humiliated in video games which was important for me to realize that in order to be better, parts of me have to die.",PRO-ADP,High Frequency
55,True,6.0,Always,"-,League of Legends,-,-,-","It depends on the mindset given the situation. A lot of players have the tendency to want to ""have fun"" amidst a match as opposed to wanting to win. Let's assume for instance that we have the **goal** of ""winning"" in mind. If the **goal** is to win, it is essential to be a team player, and that requires putting one's ego aside and seamlessly adapt to any given situation to maximize our chance of winning. On the other hand if a win is impossible, it is wise to lose fast as opposed to trying to win with a losing team.

Anything can be meaningful with enough introspection and analysis, video games are no exception. I have been humbled and totally humiliated in video games which was important for me to realize that in order to be better, parts of me have to die.",PRO-GOL,High Frequency
