final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017232: I am a gamer..1,7017233: How many days per week do you game?.1,7017234: How often do you game in a team?.1,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group
82,Computer Science,Junior,14,True,5.0,Some of the time,"Minecraft,Arkham City,Mario Kart,Smash Bros,Lego Marvel","I think that gaming helps me be a better team player by helping my strategize, and in the case of multiplayer games, it helps me learn to work with others, and use the **strengths** of everyone involved to come up with a solution. ",CLB-MNG,High Frequency
82,Computer Science,Junior,14,True,5.0,Some of the time,"Minecraft,Arkham City,Mario Kart,Smash Bros,Lego Marvel","I think that gaming helps me be a better team player by helping my **strategize**, and in the case of multiplayer games, it helps me learn to work with others, and use the strengths of everyone involved to come up with a solution. ",PRO-STR,High Frequency
82,Computer Science,Junior,14,True,5.0,Some of the time,"Minecraft,Arkham City,Mario Kart,Smash Bros,Lego Marvel","I think that gaming helps me be a better **team player** by helping my strategize, and in the case of **multiplayer** games, it helps me learn to work with others, and use the strengths of everyone involved to come up with a solution. ",INT-GRP,High Frequency
50,Computer Science,Senior,13,True,7.0,Some of the time,"Baldur's Gate 3,Elden Ring,Legend of Zelda Tears of the Kingdom,Fortnite,Civilizations VI","I believe that it does. While I mostly play single player games, I think gaming encourages you to think critically about you and your teams strengths, weaknesses, and goals. I find this true for both single player and multiplayer games. When it comes to multiplayer games in particular, I think that it also encourages **effective communication** between teammates.",COM-EFF,High Frequency
50,Computer Science,Senior,13,True,7.0,Some of the time,"Baldur's Gate 3,Elden Ring,Legend of Zelda Tears of the Kingdom,Fortnite,Civilizations VI","I believe that it does. While I mostly play single player games, I think gaming encourages you to think critically about you and your teams **strengths**, weaknesses, and goals. I find this true for both single player and multiplayer games. When it comes to multiplayer games in particular, I think that it also encourages effective communication between teammates.",CLB-MNG,High Frequency
50,Computer Science,Senior,13,True,7.0,Some of the time,"Baldur's Gate 3,Elden Ring,Legend of Zelda Tears of the Kingdom,Fortnite,Civilizations VI","I believe that it does. While I mostly play single player games, I think gaming encourages you to think critically about you and your **teams** strengths, weaknesses, and goals. I find this true for both single player and **multiplayer** games. When it comes to **multiplayer** games in particular, I think that it also encourages effective communication between teammates.",INT-GRP,High Frequency
50,Computer Science,Senior,13,True,7.0,Some of the time,"Baldur's Gate 3,Elden Ring,Legend of Zelda Tears of the Kingdom,Fortnite,Civilizations VI","I believe that it does. While I mostly play **single player** games, I think gaming encourages you to think critically about you and your teams strengths, weaknesses, and goals. I find this true for both **single player** and multiplayer games. When it comes to multiplayer games in particular, I think that it also encourages effective communication between teammates.",DEF-SLO,High Frequency
70,Computer Science,Junior,13,True,4.0,Most of the time,"red dead 2,overwatch,call of duty,diablo 5,GTA",Yes my gaming make me a better **team player** since mostly i like the games that requiers team work and need couple minds to think of it.,INT-GRP,High Frequency
71,Computer Science,Senior,14,True,7.0,Most of the time,"osu!,Sea of Thieves,Chess,Overwatch,LoL",Gaming with a team will teach you the futility of getting frustrated with team members rather than being constructive.,UNCODED,High Frequency
74,Exp St: IT Int,Junior,14,True,7.0,Half of the time,"Eternal return,Baldurs gate 3,Final fantasy xiv,Black desert,Overwatch 2",I think playing video games that require team work and **coordination** have made me a better team player as I've gained lots of experience being in an environment with a group.,CLB-COP,High Frequency
74,Exp St: IT Int,Junior,14,True,7.0,Half of the time,"Eternal return,Baldurs gate 3,Final fantasy xiv,Black desert,Overwatch 2",I think playing video games that require team work and coordination have made me a better **team player** as I've gained lots of experience being in an environment with a **group**.,INT-GRP,High Frequency
91,Computer Science,Junior,16,True,4.0,Most of the time,"Rocket League,Runeterra,Baldur's Gate 3,CS:GO,Apex Legends","I believe it does. Gaming has taught me self-management and team-play. Working with others towards a **common goal** over the span of a couple of minutes or weeks at time. As well, learning how to deal with different personalities and ensure that all people come towards the **common goal** is a common issue. Outside of team-play, things like resource management is a common need and so helps me as well. ",PRO-GOL,High Frequency
97,Computer Science,Senior,13,False,0.0,Some of the time,"Karma,Wacky Six,Phase10,Azul,Sequence","I'm not a video game enthusiast, but I do play board and card games. Most of these games have an individual-based playing style that creates a competitive environment. Occasionally, I have played **strategy**-based games such as Pandemic or Forbidden Island. **Strategy** games do facilitate players discussing options and moves that will have different effects of the game play. This requires me to share my ideas while also being open minded to other players’ ideas to the solution. It has taught me to be willing to sacrifice my desires for the greater good of the group. You must learn not to regret past mistakes and to continue moving on to the best of your ability. Criticizing other’s ideas that have had a negatively affected the game play cause discontent and friction amount the group. ",PRO-STR,Low Frequency
97,Computer Science,Senior,13,False,0.0,Some of the time,"Karma,Wacky Six,Phase10,Azul,Sequence","I'm not a video game enthusiast, but I do play board and card games. Most of these games have an individual-based playing style that creates a competitive environment. Occasionally, I have played strategy-based games such as Pandemic or Forbidden Island. Strategy games do facilitate players discussing options and moves that will have different effects of the game play. This requires me to share my ideas while also being open minded to other players’ ideas to the solution. It has taught me to be willing to sacrifice my desires for the greater good of the **group**. You must learn not to regret past mistakes and to continue moving on to the best of your ability. Criticizing other’s ideas that have had a negatively affected the game play cause discontent and friction amount the **group**. ",INT-GRP,Low Frequency
97,Computer Science,Senior,13,False,0.0,Some of the time,"Karma,Wacky Six,Phase10,Azul,Sequence","I'm not a video game enthusiast, but I do play board and card games. Most of these games have an individual-based playing style that creates a competitive environment. Occasionally, I have played strategy-based games such as Pandemic or Forbidden Island. Strategy games do facilitate players discussing options and moves that will have different effects of the game play. This requires me to share my ideas while also being open minded to other players’ ideas to the solution. It has taught me to be willing to **sacrifice** my desires for the greater good of the group. You must learn not to regret past mistakes and to continue moving on to the best of your ability. Criticizing other’s ideas that have had a negatively affected the game play cause discontent and friction amount the group. ",INT-OTH,Low Frequency
