CODE,High Frequency,Low Frequency,Combined Total,SP22,FA22,SP23,FA23,SP24,FA24,SP25,FA25
CLB-CMR,31,20,51,8,5,5,1,10,6,7,9
CLB-COP,158,117,275,39,26,21,31,47,36,43,32
CLB-DEL,6,5,11,3,0,1,1,1,1,1,3
CLB-MNG,168,115,283,34,22,24,25,47,44,44,43
COM-CLR,50,30,80,8,9,5,4,15,17,13,9
COM-EFF,89,50,139,10,17,17,10,31,15,20,19
COM-PSR,22,24,46,2,4,5,7,8,7,5,8
CTR-DCT,7,3,10,0,1,0,1,1,1,4,2
CTR-LWF,4,5,9,0,2,3,1,0,0,2,1
DEF-IRR,20,10,30,4,4,7,2,0,3,3,7
DEF-ISO,20,11,31,6,5,1,4,3,3,4,5
DEF-SLO,68,62,130,18,18,21,12,9,16,16,20
DEV-NRL,10,3,13,3,1,1,1,1,1,2,3
DEV-VCM,0,1,1,0,0,0,0,0,0,1,0
INT-AWR,5,5,10,1,1,1,0,3,1,1,2
INT-BND,3,5,8,1,1,0,1,0,1,1,3
INT-ENC,23,13,36,3,6,3,5,6,3,4,6
INT-GRP,312,226,538,71,58,57,57,74,71,65,85
INT-OTH,116,65,181,16,21,20,17,28,22,26,31
INT-PAT,16,13,29,4,2,2,3,2,5,5,6
INT-PER,8,11,19,2,2,2,1,2,1,3,6
INT-VUL,17,7,24,3,1,6,2,1,2,3,6
PRO-ADP,22,13,35,3,4,4,4,2,7,6,5
PRO-GOL,101,62,163,19,17,19,17,26,19,22,24
PRO-STR,82,61,143,14,11,14,16,20,29,21,18
SEF-DTR,7,8,15,1,1,1,1,2,3,0,6
SEF-FLW,6,7,13,1,1,3,2,1,2,2,1
SEF-LCK,3,2,5,1,1,0,1,0,0,1,1
