final score,7335381: I am a gamer.,7335382: How many days per week do you game?,7335383: How often do you game in a team?,"7335384: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7335385: Does your gaming make you a better team player? How?
-1,TRUE,5,Half of the time,"Valorant,College Football 26,Marvel Rivals,Minecraft,Crusader Kings III",I would say it does make me a better team player due to having to communicate effectively in order to win or complete a task in whatever game im playing with my friends.
-1,TRUE,2,Some of the time,"Minecraft,Roblox,Fortnite ,,",Gamming does make you a better team player because it provides a space for most people to practice those skills in a way that is enjoyable and low stakes. 
-1,TRUE,3,Some of the time,"Baldur's Gate 3,Final Fantasy 14,Monster Hunter Wilds,Final Fantasy Pixel Remaster,Animal Crossing: New Horizons","I do think gaming makes you a better team player.
When I do get the chance to play a game with others, I find that I want to help in and take on roles that I would not take on by myself if it helps the team or a member of said team.

I am always happy to strategize and find ways to work together to complete a goal.

 "
-1,TRUE,3,Some of the time,"NCAA,Madden,Warzone COD,Fortnite,PGA",I would say yes because it helps you learn how to communicate with others . We might be two different gamers. an attacker and a sniper.   But we all have the same end goal so we communcate and i feel like this helps us in real life because there is more than one way to complete something so communicating can help us all acheive the same goal.
-1,FALSE,,,,
-1,TRUE,7,Most of the time,"GTA V,FIFA,Fortnite,Call of Duty,Valorant","Yes, gaming makes me a better team player because many games need teamwork to win. I learn to communicate with others, share ideas, and listen to my teammates. It also teaches me to stay calm under pressure and support the team instead of just focusing on myself."
-1,TRUE,6,Some of the time,"-,-,-,-,-",I think it can give context and experience for group coordination and social dynamics.
-1,TRUE,2,Most of the time,"TFT,LOL,FOREST,PUBG,PLANTS VS ZOMBIE","Yes, it makes me more think about in a team but not just myself"
-1,TRUE,3,Some of the time,"Catan,Balatro,Splitgate,Valorant,","Yes, it does. It helps build the skill of communicating with others to meet a common goal. For example, if I am playing Splitgate with friends and we have lost consecutive rounds, we can stop, reflect on what we are doing wrong, and try to improve on the next round so that we have a better chance of taking the win."
-1,TRUE,7,Most of the time,"Valorant,League of legends,Elden ring,Clash royale,Clash of Clans","Yes, I have learn how to communicate and work as a team."
