final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,"7017235: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7017236: Does your gaming make you a better team player? How?
80,TRUE,6,Half of the time,"Synthetik: Ultimate,Hunt: Showdown,Minecraft,Escape From Tarkov,Cataclysm: DDA","Maybe. Better communication, communication clarity, collaborative planning."
-1,TRUE,4,Half of the time,"Call of Duty,Rocket League,Battlefield,,","No, I use the same communication skills that I use at work when I am gaming. It is more for fun. Maybe earlier on in life it helped more."
84,TRUE,3,Some of the time,"Animal Crossing,Stardew Valley,Mario Kart,Legend of Zelda (ANY AND ALL),Literally any Nintendo game",I believe it does! It's good practice to combine individual skills and strengths to complete a shared goal and allows for better communication while working together. 
76,FALSE,,,,
77,TRUE,7,Half of the time,"Deep Rock Galactic,Helldivers 2,Marvel Rivals,Caves of Qud,League of Legends","Yes and no. I mostly play team games- as you can see in my list. But said games tend to be toxic environs. Self reliance is needed, and teamplay is extremely good- but never to be expected.

I am capable of being quite the team player, if I meaningfully reach a desired goal through it."
93,FALSE,0,Never,,
81,TRUE,6,Half of the time,"Terraria,Minecraft,Marvel Rivals,Overwatch,Risk of Rain 2",Helps with my communication and conflict management. I also find it helps me control my emotions. It also helps me channel my passion and stuff into the game. 
89,TRUE,2,Some of the time,"Minecraft,Fortnite,Rocket League,Call of Duty,Ark Survival Evolved","Yes, because I have lots of experience gaming with friends, where we have learned through trial and error that communicating effectively and planning well lead to greater success. I have  also found the most success when we are all having a good time, and are getting along well together."
90,TRUE,0,Always,"Rainbow Six,Smite,Escape From Tarkov,-,-","I am pretty good at being a team player, because I know how to work together with my teammates to win, and I feel like I am quite strategic and can explain the process to my teammates well."
80,FALSE,,,,
72,TRUE,4,Some of the time,"Balatro,Bloodborne,Metal gear Solid 2,Fortnite,Metal Gear Solid V","I do think that is has made me a better team player, since especially in competitive games communicating with your team will help massively in winning since your better able to coordinate what your doing which definitely gives you an edge over people who aren't communicating as regularly. Because of that, I think gaming has given my the chance to practice a lot of teamwork skills such as relaying information in a timely manner to others and working as part of a group to achieve a common goal. I also think its made me better at communicating online in general, as now on zoom, or google meets I'm a lot more comfortable talking to other people as opposed to a few years ago where I found it far more awkward compared to in person."
88,TRUE,4,Some of the time,"Civilization 5,Just Cause 3,Red Dead Redemption 2,Five Nights at Freddy's (series),HITMAN 3","I don't usually play multiplayer games, but the few times I have there is a lot of importance in doing your part to help in a team, like in Marvel Rivals or Call of Duty. Otherwise, everything falls apart."
15,FALSE,0,Never,,
78,TRUE,5,Half of the time,"Fortnite,Far Cry 6,Civilizations IV,Helldivers 2,Balatro","I believe it does, it encourages trying different strategies that work for the entire team. Additionally, it motivates players to play roles to their strengths and assist each other with their weaknesses since everyone is working towards a common goal."
88,TRUE,7,Some of the time,"Stardew Valley,Minecraft,Animal Crossing,Hades,Splatoon","Sometimes, however I rarely play with people I can communicate with, so there's only so much I can do to be a good teammate besides playing well"
95,FALSE,1,Some of the time,"GTA 5,Ghost of tsushima,Call of Duty Mobile,Need for speed,GTA San Andreas","Yes, gaming helps me become a better team player. Whenever I play a team-based game like Call of Duty Mobile, I’m more likely to stay engaged until the end and achieve victory without being eliminated midway."
73,TRUE,3,Some of the time,"Warframe,Marvel Rivals,,,",Allows me to assess the needs of the team and step into fulfill that role if I am able.
92,TRUE,1,Most of the time,"Valorant,Age of Empires,Marvel Rivals,Factorio,","In Age of Empires, real time team coordination is of the upmost importance. The usual people I play with and myself have become very good at syncing our strategies together. I would say my communication skills have become pretty decent just off the experience I've had playing."
76,FALSE,,,,
83,TRUE,4,Always,"CSGO,Valorant,CFB 25,Fortnite,R6",I believe that playing video games makes me a better team player. This is because I am constantly learning how to play a specific role for my team and how I can assist my teammates to reach a goal.
89,TRUE,3,Some of the time,"War Thunder,Factorio,Team Fortress 2,Rainbow 6 Siege,Hollow Knight","Team Fortress 2 and Rainbow 6 both directly contribute to my ability to work in a team, as they are team based games where clear communication and organization are essential to success. Factorio applies specifically to working in software as many of the same principles apply regarding architecture, scalability, and etc..."
98,TRUE,3,Never,"Factorio,Pokemon,The Sims,Hades,Minecraft","I don't think it goes either way for me, helpful or not, because it is a secondary thing I do more as stress relief or part of a routine. So, I suppose in those ways you could say it's grounding"
79,FALSE,,,,
93,TRUE,3,Some of the time,"Cult of the Lamb,Baludr's Gate,World of Warcraft,Zelda,not a video game but D and D",Yes always!!! It's always more fun too. when you are on your own you just have your talent set. When you have a team you fill in each others blanks. You are all diverse and have different strengths that can shore up any weakness. No one is perfect or all powerful so the more people you have the stronger you become. You can also approach things/enemies from multiple angles which is a massive asset.  Not to mention there are much better inside jokes when you're well inside the group. 
84,TRUE,1,Most of the time,"CS2,CS:GO,Minecraft,Valorant,Rainbow Six: Siege","It does make me a better team player because I mostly play tactical, team-based games like Counter-Strike."
84,TRUE,7,Never,"Helldivers 2,Super Smash Bros,Stardew Valley,Windblown,Splatoon","Yes. Being able to effectively communicate and strategize with a team are very relevant skills in my life that I think I've largely grown through gaming. They allow smooth, swift communication with others and help me to be efficient when working with others."
86,TRUE,3,Some of the time,"Horror,RPG,Fighting,Adventure,Sports",Somewhat I think it helps with communication. I liked to think it helps with working on something with someone and collaborating with the skills that we are good at. 
86,TRUE,3,Some of the time,"Multiplayer Horror Games (Phasmophobia),Minecraft,College Football 25,RDR2,Roblox","I want to think so since it promotes communication, planning strategy, and coordination with others. It also has shown me that people work better together especially when they have each others backs."
92,FALSE,0,Never,"Nascar 15,Minecraft,Borderlands,Call of duty,super Mario Bros","Not the way I do it.

If i was in a team it makes dividing an conquering easier."
96,FALSE,,,,
90,TRUE,3,Most of the time,"Marvel Rivals ,Bladurs Gate,Destiny 2,NCAA 25,Skate 3","Yes, many of the games I play are very dependant on being a team player and working together, especially destiny two as raids have to be done together."
74,TRUE,3,Half of the time,"Stardew Valley,Rocket League,Valorant,Valheim,Dead by Daylight",Some aspects of gaming does translate well into being a better team player. This is due to the fact that a lot of games rely on people to work together as a team since it is always harder to do the work all by your self. This allows people to open up to the idea of teamwork in order to be more efficient and make it easier on themselves.
88,TRUE,1,Most of the time,"Fortnite,Minecraft,Roblox,Marvel Rivals,Free games","I think that gaming in some way did make me a team player. I'm the worst at video games compared to the friends I play with, so I usually take up the role of supporting others. I'm aware of my limitations so I do my best to help others thrive instead. This translates to real life, where I would have job supervisors who I was responsible in making their job easier as best I can."
