final score,frequency
10,7
51,6
65,3
67,4
67,3
70,7
70,7
71,5
73,7
74,7
74,4
75,2
75,5
76,7
77,4
77,5
77,3
79,7
79,2
81,5
81,7
83,7
83,2
83,7
84,2
84,3
84,3
85,7
85,7
85,7
85,2
85,7
85,2
85,7
86,3
86,3
86,3
87,5
87,2
87,6
87,4
88,5
88,1
88,2
89,7
89,4
89,4
89,5
89,0
90,3
91,3
91,4
91,5
91,2
91,3
91,5
91,4
92,2
92,5
92,5
92,1
92,4
93,7
93,7
94,2
94,1
94,4
94,2
94,5
94,3
95,7
95,5
95,3
96,4
96,4
96,3
96,2
96,5
97,4
97,2
97,3
98,2
98,5
98,4
98,3
98,1
98,7
98,7
98,6
99,2
99,0
99,3
99,7
100,7
101,1
101,1
101,0
