final score,frequency
50,4
55,6
65,5
67,5
69,2
71,5
71,5
71,4
71,7
72,7
73,4
74,1
76,4
77,4
77,5
78,2
78,5
78,2
79,7
79,3
79,3
79,4
80,4
81,4
82,2
83,4
83,0
83,2
83,7
84,2
84,3
84,5
84,4
85,3
85,4
86,3
86,5
88,7
88,3
89,7
89,5
89,6
89,5
89,5
90,2
90,4
91,5
91,5
91,4
92,4
93,3
93,7
93,2
93,5
93,1
93,1
93,3
93,5
93,3
93,7
93,6
94,7
94,2
94,3
94,4
94,7
95,7
95,4
95,3
95,1
95,3
95,1
95,5
95,4
96,6
96,7
96,6
96,2
97,7
97,7
97,3
97,2
97,1
97,2
97,3
98,7
98,2
98,3
98,2
99,3
100,7
100,4
100,7
100,7
100,3
100,7
101,3
101,2
