finalscore,frequency
10,7
51,6
65,3
67,4
67,3
70,7
70,7
71,5
73,7
74,7
74,4
75,2
75,5
76,7
77,4
77,5
77,3
79,7
79,2
81,5
81,7
83,7
83,2
83,7
84,2
84,3
84,3
85,7
85,7
85,7
85,2
85,7
85,2
85,7
86,3
86,3
86,3
87,5
87,2
87,6
87,4
88,5
88,1
88,2
89,7
89,4
89,4
89,5
89,0
90,3
91,3
91,4
91,5
91,2
91,3
91,5
91,4
92,2
92,5
92,5
92,1
92,4
93,7
93,7
94,2
94,1
94,4
94,2
94,5
94,3
95,7
95,5
95,3
96,4
96,4
96,3
96,2
96,5
97,4
97,2
97,3
98,2
98,5
98,4
98,3
98,1
98,7
98,7
98,6
99,2
99,0
99,3
99,7
100,7
101,1
101,1
101,0
48,3
50,7
50,4
63,7
70,4
70,4
70,4
71,7
71,5
71,3
74,7
74,3
74,2
75,7
75,7
76,2
76,3
77,4
78,5
78,1
78,1
78,3
79,7
80,4
80,4
81,1
81,3
81,7
81,2
81,7
82,5
82,5
83,2
83,7
84,7
84,1
85,2
85,3
86,0
86,2
86,7
87,4
87,3
87,7
87,7
88,7
88,4
88,7
88,2
89,7
89,1
89,0
89,1
89,2
90,4
90,0
90,4
90,4
90,1
91,4
91,3
91,7
92,5
92,7
92,3
92,2
92,4
92,3
92,1
93,4
93,2
93,5
93,3
93,0
93,7
93,4
94,4
94,2
94,5
94,3
95,5
95,7
95,7
95,4
96,4
96,7
96,7
96,7
97,0
97,7
97,7
97,5
97,6
98,1
98,3
98,1
98,3
98,6
99,5
100,0
100,1
100,1
100,5
100,3
100,3
10,2
44,6
48,1
49,4
52,5
53,4
56,7
58,3
62,5
64,0
68,1
68,2
69,7
70,4
71,7
71,2
72,4
73,4
73,7
73,5
74,5
74,2
74,2
74,2
74,2
75,0
76,3
76,2
77,1
77,0
77,7
77,7
77,7
77,2
77,3
78,3
78,1
78,3
78,7
78,6
78,2
80,5
80,7
80,6
80,7
80,7
81,1
81,2
81,6
81,2
81,7
82,4
82,5
82,2
83,6
83,6
83,4
83,4
83,7
83,3
83,4
84,7
84,3
84,3
84,2
84,6
84,5
84,6
84,3
85,4
85,6
85,1
85,7
85,5
85,5
85,6
85,2
85,1
85,2
85,4
86,3
86,7
86,4
86,7
87,1
88,0
89,5
89,3
89,2
89,7
89,7
89,2
90,4
